# This file was produced by: bcftools roh(1.15.1+htslib-1.15.1)
# The command line was:	bcftools roh -G30 --estimate-AF - --rec-rate 1e-9 --skip-indels -O r -o /projects/mjolnir1/people/qvw641/CottonTop/ROHs///BcfToolsRoh_alt04recomb_1e-9_final_AF.txt /projects/mjolnir1/people/qvw641/CottonTop/VCF/Filter/CTT_onlyCTT_filter.vcf.gz
#
# RG	[2]Sample	[3]Chromosome	[4]Start	[5]End	[6]Length (bp)	[7]Number of markers	[8]Quality (average fwd-bwd phred score)
RG	04_NHS_Z_1866_23_31	CM038391.1	138688	1082438	943751	1397	77.3
RG	04_NHS_Z_1866_23_31	CM038391.1	1227888	2182123	954236	1191	76.6
RG	04_NHS_Z_1866_23_31	CM038391.1	2304350	2701701	397352	796	59.9
RG	04_NHS_Z_1866_23_31	CM038391.1	4571266	5018333	447068	792	80.1
RG	04_NHS_Z_1866_23_31	CM038391.1	9555654	9670374	114721	204	64.6
RG	04_NHS_Z_1866_23_31	CM038391.1	10596564	11210643	614080	1141	61.9
RG	04_NHS_Z_1866_23_31	CM038391.1	11722646	13285828	1563183	3605	95.6
RG	04_NHS_Z_1866_23_31	CM038391.1	13311879	18194742	4882864	8148	94.9
RG	04_NHS_Z_1866_23_31	CM038391.1	19245907	19382647	136741	254	38.9
RG	04_NHS_Z_1866_23_31	CM038391.1	20876506	21725303	848798	1247	90.1
RG	04_NHS_Z_1866_23_31	CM038391.1	21797527	21911128	113602	259	77.7
RG	04_NHS_Z_1866_23_31	CM038391.1	22553274	22732969	179696	291	62.5
RG	04_NHS_Z_1866_23_31	CM038391.1	23014846	23269984	255139	435	37.8
RG	04_NHS_Z_1866_23_31	CM038391.1	27493104	28208719	715616	1074	88.4
RG	04_NHS_Z_1866_23_31	CM038391.1	29063626	29767584	703959	1081	28.6
RG	04_NHS_Z_1866_23_31	CM038391.1	31833533	32738351	904819	1147	80.0
RG	04_NHS_Z_1866_23_31	CM038391.1	33598398	35166442	1568045	2487	75.6
RG	04_NHS_Z_1866_23_31	CM038391.1	35901827	36644475	742649	1331	75.2
RG	04_NHS_Z_1866_23_31	CM038391.1	36766468	37456980	690513	1473	66.5
RG	04_NHS_Z_1866_23_31	CM038391.1	39085064	39271583	186520	518	69.6
RG	04_NHS_Z_1866_23_31	CM038391.1	39473607	40073771	600165	1516	88.7
RG	04_NHS_Z_1866_23_31	CM038391.1	40331478	40514277	182800	384	74.0
RG	04_NHS_Z_1866_23_31	CM038391.1	41400579	41641694	241116	451	90.0
RG	04_NHS_Z_1866_23_31	CM038391.1	41819200	42311510	492311	1262	88.6
RG	04_NHS_Z_1866_23_31	CM038391.1	43260168	43295586	35419	152	40.5
RG	04_NHS_Z_1866_23_31	CM038391.1	43390717	43708037	317321	1055	75.2
RG	04_NHS_Z_1866_23_31	CM038391.1	44217498	44443659	226162	424	79.7
RG	04_NHS_Z_1866_23_31	CM038391.1	45320836	45605645	284810	703	88.7
RG	04_NHS_Z_1866_23_31	CM038391.1	45833868	46257801	423934	1211	91.9
RG	04_NHS_Z_1866_23_31	CM038391.1	46348610	46589406	240797	494	75.0
RG	04_NHS_Z_1866_23_31	CM038391.1	47082178	47350797	268620	684	63.6
RG	04_NHS_Z_1866_23_31	CM038391.1	48190481	48335590	145110	452	76.5
RG	04_NHS_Z_1866_23_31	CM038391.1	51183385	51260591	77207	179	17.2
RG	04_NHS_Z_1866_23_31	CM038391.1	51908707	54600744	2692038	6147	98.0
RG	04_NHS_Z_1866_23_31	CM038391.1	55859987	55993354	133368	302	71.8
RG	04_NHS_Z_1866_23_31	CM038391.1	57098723	57242069	143347	355	77.7
RG	04_NHS_Z_1866_23_31	CM038391.1	58794135	58845025	50891	195	34.2
RG	04_NHS_Z_1866_23_31	CM038391.1	62717919	62846447	128529	318	73.0
RG	04_NHS_Z_1866_23_31	CM038391.1	65351430	65488871	137442	303	35.0
RG	04_NHS_Z_1866_23_31	CM038391.1	67263763	67671098	407336	852	76.0
RG	04_NHS_Z_1866_23_31	CM038391.1	68308424	69978508	1670085	2409	79.1
RG	04_NHS_Z_1866_23_31	CM038391.1	70377245	70549362	172118	507	64.8
RG	04_NHS_Z_1866_23_31	CM038391.1	72285551	72683770	398220	762	85.9
RG	04_NHS_Z_1866_23_31	CM038391.1	72847661	73029546	181886	485	60.5
RG	04_NHS_Z_1866_23_31	CM038391.1	74877030	75146538	269509	636	77.2
RG	04_NHS_Z_1866_23_31	CM038391.1	75525623	75954719	429097	1042	74.8
RG	04_NHS_Z_1866_23_31	CM038391.1	76338588	77003799	665212	1376	93.8
RG	04_NHS_Z_1866_23_31	CM038391.1	79610309	79841062	230754	579	78.7
RG	04_NHS_Z_1866_23_31	CM038391.1	80349219	80797070	447852	941	83.0
RG	04_NHS_Z_1866_23_31	CM038391.1	81752766	81848602	95837	313	46.4
RG	04_NHS_Z_1866_23_31	CM038391.1	82585870	83612018	1026149	1550	87.0
RG	04_NHS_Z_1866_23_31	CM038391.1	84037807	84725196	687390	999	88.9
RG	04_NHS_Z_1866_23_31	CM038391.1	85602987	86328259	725273	1532	81.1
RG	04_NHS_Z_1866_23_31	CM038391.1	87829253	88619131	789879	1132	81.3
RG	04_NHS_Z_1866_23_31	CM038391.1	89001686	89553421	551736	808	82.9
RG	04_NHS_Z_1866_23_31	CM038391.1	90867915	90955092	87178	196	56.2
RG	04_NHS_Z_1866_23_31	CM038391.1	91044141	91225416	181276	333	80.3
RG	04_NHS_Z_1866_23_31	CM038391.1	91532403	92029531	497129	1019	85.7
RG	04_NHS_Z_1866_23_31	CM038391.1	92816413	92933006	116594	171	18.7
RG	04_NHS_Z_1866_23_31	CM038391.1	94373476	94539244	165769	279	28.9
RG	04_NHS_Z_1866_23_31	CM038391.1	96281379	96532656	251278	445	49.7
RG	04_NHS_Z_1866_23_31	CM038391.1	97021434	97576970	555537	1417	61.3
RG	04_NHS_Z_1866_23_31	CM038391.1	101204416	101808547	604132	1066	55.0
RG	04_NHS_Z_1866_23_31	CM038391.1	101880797	102282770	401974	742	65.0
RG	04_NHS_Z_1866_23_31	CM038391.1	103913286	104492093	578808	985	88.3
RG	04_NHS_Z_1866_23_31	CM038391.1	104713308	104891641	178334	423	51.4
RG	04_NHS_Z_1866_23_31	CM038391.1	107647577	107897597	250021	348	69.2
RG	04_NHS_Z_1866_23_31	CM038391.1	109721071	110281997	560927	1121	78.5
RG	04_NHS_Z_1866_23_31	CM038391.1	112322806	112464980	142175	346	44.5
RG	04_NHS_Z_1866_23_31	CM038391.1	113088303	113274663	186361	226	19.7
RG	04_NHS_Z_1866_23_31	CM038391.1	113915244	114759908	844665	1498	89.1
RG	04_NHS_Z_1866_23_31	CM038391.1	116413334	117347211	933878	1959	57.1
RG	04_NHS_Z_1866_23_31	CM038391.1	117398821	117890536	491716	753	69.1
RG	04_NHS_Z_1866_23_31	CM038391.1	118842940	119183225	340286	745	84.1
RG	04_NHS_Z_1866_23_31	CM038391.1	121247001	121863174	616174	883	79.0
RG	04_NHS_Z_1866_23_31	CM038391.1	123717345	123994656	277312	478	74.3
RG	04_NHS_Z_1866_23_31	CM038391.1	124916241	125421763	505523	935	66.0
RG	04_NHS_Z_1866_23_31	CM038391.1	125728440	127043358	1314919	1849	91.7
RG	04_NHS_Z_1866_23_31	CM038391.1	128205610	128451585	245976	406	44.2
RG	04_NHS_Z_1866_23_31	CM038391.1	131243852	132522480	1278629	2783	79.3
RG	04_NHS_Z_1866_23_31	CM038391.1	134352992	134746129	393138	491	66.5
RG	04_NHS_Z_1866_23_31	CM038391.1	134868185	135456139	587955	1163	51.9
RG	04_NHS_Z_1866_23_31	CM038391.1	135639247	135958485	319239	782	76.5
RG	04_NHS_Z_1866_23_31	CM038391.1	137146098	139518465	2372368	4599	95.4
RG	04_NHS_Z_1866_23_31	CM038391.1	140354642	140428127	73486	328	54.2
RG	04_NHS_Z_1866_23_31	CM038391.1	140745872	140881070	135199	233	54.1
RG	04_NHS_Z_1866_23_31	CM038391.1	141682135	141750913	68779	149	42.8
RG	04_NHS_Z_1866_23_31	CM038391.1	145273151	145860360	587210	1230	86.3
RG	04_NHS_Z_1866_23_31	CM038391.1	146415339	146535925	120587	179	67.9
RG	04_NHS_Z_1866_23_31	CM038391.1	146676316	147665056	988741	1934	75.7
RG	04_NHS_Z_1866_23_31	CM038391.1	148006078	149394546	1388469	1852	48.2
RG	04_NHS_Z_1866_23_31	CM038391.1	152538090	152738758	200669	513	71.2
RG	04_NHS_Z_1866_23_31	CM038391.1	152997203	153513157	515955	1003	79.9
RG	04_NHS_Z_1866_23_31	CM038391.1	154749081	154845926	96846	143	28.0
RG	04_NHS_Z_1866_23_31	CM038391.1	155977872	156139301	161430	415	58.8
RG	04_NHS_Z_1866_23_31	CM038391.1	156720014	156931214	211201	442	84.0
RG	04_NHS_Z_1866_23_31	CM038391.1	156976781	157026846	50066	176	69.7
RG	04_NHS_Z_1866_23_31	CM038391.1	157872366	158095734	223369	418	74.5
RG	04_NHS_Z_1866_23_31	CM038391.1	158450043	158904569	454527	690	37.7
RG	04_NHS_Z_1866_23_31	CM038391.1	158953598	160084951	1131354	1694	63.9
RG	04_NHS_Z_1866_23_31	CM038391.1	161253128	161670040	416913	911	61.7
RG	04_NHS_Z_1866_23_31	CM038391.1	162952396	163232793	280398	517	24.0
RG	04_NHS_Z_1866_23_31	CM038391.1	163789780	163982217	192438	504	85.9
RG	04_NHS_Z_1866_23_31	CM038391.1	164749205	165014910	265706	712	78.9
RG	04_NHS_Z_1866_23_31	CM038391.1	165271166	165798241	527076	1444	90.7
RG	04_NHS_Z_1866_23_31	CM038391.1	165830097	166038499	208403	581	86.5
RG	04_NHS_Z_1866_23_31	CM038391.1	166042881	166333930	291050	778	88.3
RG	04_NHS_Z_1866_23_31	CM038391.1	166427782	166967159	539378	1130	86.1
RG	04_NHS_Z_1866_23_31	CM038391.1	169877916	170526066	648151	859	79.8
RG	04_NHS_Z_1866_23_31	CM038391.1	170646573	171119901	473329	673	57.1
RG	04_NHS_Z_1866_23_31	CM038391.1	171477251	171665947	188697	404	61.8
RG	04_NHS_Z_1866_23_31	CM038391.1	172553679	172739563	185885	314	45.1
RG	04_NHS_Z_1866_23_31	CM038391.1	172941387	173443007	501621	759	75.1
RG	04_NHS_Z_1866_23_31	CM038391.1	175214469	175438574	224106	475	40.4
RG	04_NHS_Z_1866_23_31	CM038391.1	176041990	176641966	599977	941	75.0
RG	04_NHS_Z_1866_23_31	CM038391.1	176771950	177040647	268698	606	81.2
RG	04_NHS_Z_1866_23_31	CM038391.1	178194782	178440467	245686	505	46.8
RG	04_NHS_Z_1866_23_31	CM038391.1	178816527	179125172	308646	717	68.3
RG	04_NHS_Z_1866_23_31	CM038391.1	180795496	180977821	182326	311	13.6
RG	04_NHS_Z_1866_23_31	CM038391.1	181189390	181469423	280034	442	37.5
RG	04_NHS_Z_1866_23_31	CM038391.1	182184117	182705618	521502	1170	87.9
RG	04_NHS_Z_1866_23_31	CM038391.1	184049803	184616979	567177	1183	83.1
RG	04_NHS_Z_1866_23_31	CM038391.1	184767536	185216035	448500	782	63.0
RG	04_NHS_Z_1866_23_31	CM038391.1	185592296	185907806	315511	1035	90.2
RG	04_NHS_Z_1866_23_31	CM038391.1	185963891	186328898	365008	946	91.1
RG	04_NHS_Z_1866_23_31	CM038391.1	186498435	186546012	47578	87	33.4
RG	04_NHS_Z_1866_23_31	CM038391.1	187181484	187280413	98930	220	84.3
RG	04_NHS_Z_1866_23_31	CM038391.1	190998539	191316048	317510	594	49.6
RG	04_NHS_Z_1866_23_31	CM038391.1	194979258	195332963	353706	818	74.0
RG	04_NHS_Z_1866_23_31	CM038391.1	195476706	196005126	528421	1410	79.7
RG	04_NHS_Z_1866_23_31	CM038391.1	196194030	196411395	217366	697	9.9
RG	04_NHS_Z_1866_23_31	CM038391.1	198100636	198245934	145299	285	55.8
RG	04_NHS_Z_1866_23_31	CM038391.1	202155767	202313891	158125	434	56.1
RG	04_NHS_Z_1866_23_31	CM038391.1	202596132	202897034	300903	811	83.2
RG	04_NHS_Z_1866_23_31	CM038391.1	203490836	203560383	69548	351	73.0
RG	04_NHS_Z_1866_23_31	CM038391.1	204898941	205012041	113101	277	40.3
RG	04_NHS_Z_1866_23_31	CM038391.1	205807562	206349454	541893	1435	62.3
RG	04_NHS_Z_1866_23_31	CM038391.1	206465627	206812840	347214	570	92.6
RG	04_NHS_Z_1866_23_31	CM038391.1	211561286	211682982	121697	322	53.8
RG	04_NHS_Z_1866_23_31	CM038391.1	214312585	214483771	171187	563	70.3
RG	04_NHS_Z_1866_23_31	CM038391.1	214536482	214607658	71177	198	35.6
RG	04_NHS_Z_1866_23_31	CM038391.1	214990532	215010297	19766	88	51.6
RG	04_NHS_Z_1866_23_31	CM038391.1	215477498	215662541	185044	627	60.3
RG	04_NHS_Z_1866_23_31	CM038391.1	216510301	216739542	229242	685	42.5
RG	05_FMNH_69936	CM038391.1	1225526	1719436	493911	405	88.9
RG	05_FMNH_69936	CM038391.1	2722580	2808563	85984	94	55.3
RG	05_FMNH_69936	CM038391.1	3135930	4253391	1117462	1307	60.6
RG	05_FMNH_69936	CM038391.1	5250641	6009018	758378	693	70.3
RG	05_FMNH_69936	CM038391.1	8561074	9001469	440396	476	53.7
RG	05_FMNH_69936	CM038391.1	10459299	10695921	236623	336	51.1
RG	05_FMNH_69936	CM038391.1	11969483	12382466	412984	551	78.9
RG	05_FMNH_69936	CM038391.1	15393812	15755826	362015	306	55.5
RG	05_FMNH_69936	CM038391.1	16429186	17186082	756897	564	50.9
RG	05_FMNH_69936	CM038391.1	17856417	18189752	333336	433	74.4
RG	05_FMNH_69936	CM038391.1	22781582	22962750	181169	196	56.1
RG	05_FMNH_69936	CM038391.1	23176105	23659396	483292	508	69.4
RG	05_FMNH_69936	CM038391.1	23891999	24563167	671169	757	77.6
RG	05_FMNH_69936	CM038391.1	25367543	27023077	1655535	1644	86.4
RG	05_FMNH_69936	CM038391.1	27230412	27488603	258192	252	49.2
RG	05_FMNH_69936	CM038391.1	29238444	30315219	1076776	1294	83.8
RG	05_FMNH_69936	CM038391.1	31947829	33263308	1315480	1385	91.2
RG	05_FMNH_69936	CM038391.1	33313796	33877008	563213	754	87.1
RG	05_FMNH_69936	CM038391.1	34129352	38318655	4189304	5390	95.9
RG	05_FMNH_69936	CM038391.1	38939650	39315839	376190	725	88.9
RG	05_FMNH_69936	CM038391.1	39505786	39683393	177608	233	74.7
RG	05_FMNH_69936	CM038391.1	41152105	41935448	783344	1020	77.1
RG	05_FMNH_69936	CM038391.1	42616784	43442387	825604	1362	56.5
RG	05_FMNH_69936	CM038391.1	44576307	45232388	656082	775	61.0
RG	05_FMNH_69936	CM038391.1	46046829	46077822	30994	78	22.9
RG	05_FMNH_69936	CM038391.1	47322336	47955368	633033	960	52.7
RG	05_FMNH_69936	CM038391.1	48227703	49246062	1018360	1566	81.0
RG	05_FMNH_69936	CM038391.1	49957409	50176928	219520	340	54.4
RG	05_FMNH_69936	CM038391.1	50600188	51140702	540515	606	79.4
RG	05_FMNH_69936	CM038391.1	51685642	52794476	1108835	1552	34.3
RG	05_FMNH_69936	CM038391.1	53044766	53644832	600067	1052	51.6
RG	05_FMNH_69936	CM038391.1	55305159	55936373	631215	1087	86.1
RG	05_FMNH_69936	CM038391.1	56214469	56801424	586956	1102	57.4
RG	05_FMNH_69936	CM038391.1	57255724	57664467	408744	670	82.8
RG	05_FMNH_69936	CM038391.1	58571971	59077859	505889	793	60.7
RG	05_FMNH_69936	CM038391.1	59482446	60472691	990246	1153	85.2
RG	05_FMNH_69936	CM038391.1	62512514	62836185	323672	557	92.8
RG	05_FMNH_69936	CM038391.1	63299069	63789762	490694	538	32.6
RG	05_FMNH_69936	CM038391.1	64590329	64916766	326438	412	33.2
RG	05_FMNH_69936	CM038391.1	66713065	67680410	967346	1362	63.7
RG	05_FMNH_69936	CM038391.1	70627948	71435378	807431	963	88.0
RG	05_FMNH_69936	CM038391.1	72934125	73606888	672764	1182	87.1
RG	05_FMNH_69936	CM038391.1	73965201	75786433	1821233	2954	78.6
RG	05_FMNH_69936	CM038391.1	75910252	77587262	1677011	2344	95.0
RG	05_FMNH_69936	CM038391.1	77997765	78616357	618593	938	70.1
RG	05_FMNH_69936	CM038391.1	79719481	80932452	1212972	1778	77.3
RG	05_FMNH_69936	CM038391.1	82185277	84016004	1830728	1883	86.2
RG	05_FMNH_69936	CM038391.1	85743484	86075960	332477	552	48.1
RG	05_FMNH_69936	CM038391.1	86751651	86965875	214225	338	81.0
RG	05_FMNH_69936	CM038391.1	87090769	87235668	144900	229	68.8
RG	05_FMNH_69936	CM038391.1	87887544	88757981	870438	891	48.5
RG	05_FMNH_69936	CM038391.1	91831969	92056477	224509	404	42.7
RG	05_FMNH_69936	CM038391.1	92206371	92404425	198055	326	21.1
RG	05_FMNH_69936	CM038391.1	93260243	93592549	332307	416	71.0
RG	05_FMNH_69936	CM038391.1	93774813	94836269	1061457	1329	89.4
RG	05_FMNH_69936	CM038391.1	95141281	95657409	516129	502	59.9
RG	05_FMNH_69936	CM038391.1	96713899	98891808	2177910	3472	74.1
RG	05_FMNH_69936	CM038391.1	99091382	99243955	152574	287	63.9
RG	05_FMNH_69936	CM038391.1	99374972	99931702	556731	963	79.3
RG	05_FMNH_69936	CM038391.1	101575772	102043090	467319	661	91.1
RG	05_FMNH_69936	CM038391.1	102920379	104345400	1425022	1471	87.2
RG	05_FMNH_69936	CM038391.1	104682598	105852650	1170053	1156	79.7
RG	05_FMNH_69936	CM038391.1	106747824	107956104	1208281	1222	90.0
RG	05_FMNH_69936	CM038391.1	109563747	110280898	717152	1040	84.0
RG	05_FMNH_69936	CM038391.1	112250845	112323569	72725	126	89.0
RG	05_FMNH_69936	CM038391.1	113013445	115356818	2343374	3055	86.9
RG	05_FMNH_69936	CM038391.1	115638834	117347222	1708389	2302	92.4
RG	05_FMNH_69936	CM038391.1	117398070	117732662	334593	416	84.3
RG	05_FMNH_69936	CM038391.1	118906497	119159617	253121	378	75.1
RG	05_FMNH_69936	CM038391.1	121136792	121647839	511048	559	79.0
RG	05_FMNH_69936	CM038391.1	125566327	127047257	1480931	1625	31.4
RG	05_FMNH_69936	CM038391.1	127464224	128406450	942227	1181	89.9
RG	05_FMNH_69936	CM038391.1	129970881	130444548	473668	555	67.0
RG	05_FMNH_69936	CM038391.1	130964382	131356164	391783	523	28.0
RG	05_FMNH_69936	CM038391.1	131833877	132972849	1138973	1303	61.5
RG	05_FMNH_69936	CM038391.1	135139580	137162507	2022928	2884	79.1
RG	05_FMNH_69936	CM038391.1	137851462	139517526	1666065	2155	80.4
RG	05_FMNH_69936	CM038391.1	140293475	140516439	222965	503	79.0
RG	05_FMNH_69936	CM038391.1	142466689	142937562	470874	489	71.1
RG	05_FMNH_69936	CM038391.1	145270959	146656832	1385874	2078	93.4
RG	05_FMNH_69936	CM038391.1	146788115	147167358	379244	448	56.2
RG	05_FMNH_69936	CM038391.1	147503568	147945202	441635	570	16.6
RG	05_FMNH_69936	CM038391.1	149394834	151475364	2080531	2199	90.3
RG	05_FMNH_69936	CM038391.1	152125776	152756966	631191	1007	73.3
RG	05_FMNH_69936	CM038391.1	153206999	153590278	383280	429	72.8
RG	05_FMNH_69936	CM038391.1	155103848	155648907	545060	491	68.0
RG	05_FMNH_69936	CM038391.1	155990648	158084310	2093663	3200	67.7
RG	05_FMNH_69936	CM038391.1	158987217	159919723	932507	983	75.6
RG	05_FMNH_69936	CM038391.1	160006771	160489722	482952	594	95.6
RG	05_FMNH_69936	CM038391.1	160625842	160877550	251709	446	87.3
RG	05_FMNH_69936	CM038391.1	161122929	161455843	332915	516	74.1
RG	05_FMNH_69936	CM038391.1	162736910	163232704	495795	678	80.4
RG	05_FMNH_69936	CM038391.1	163580255	164013513	433259	750	82.1
RG	05_FMNH_69936	CM038391.1	164996255	165322288	326034	575	71.2
RG	05_FMNH_69936	CM038391.1	165478542	165798704	320163	672	75.9
RG	05_FMNH_69936	CM038391.1	165996269	166288651	292383	476	70.2
RG	05_FMNH_69936	CM038391.1	168328725	168432882	104158	235	87.2
RG	05_FMNH_69936	CM038391.1	168590972	169067188	476217	672	75.3
RG	05_FMNH_69936	CM038391.1	169668570	171181799	1513230	1700	86.2
RG	05_FMNH_69936	CM038391.1	172506954	172967675	460722	516	85.7
RG	05_FMNH_69936	CM038391.1	173363934	173959968	596035	748	56.8
RG	05_FMNH_69936	CM038391.1	174091655	176641346	2549692	3469	80.9
RG	05_FMNH_69936	CM038391.1	178027548	178335195	307648	308	57.8
RG	05_FMNH_69936	CM038391.1	179536156	180933164	1397009	1508	86.4
RG	05_FMNH_69936	CM038391.1	184355331	185166707	811377	1070	73.8
RG	05_FMNH_69936	CM038391.1	185697635	186234065	536431	879	82.6
RG	05_FMNH_69936	CM038391.1	186354705	186929000	574296	933	85.2
RG	05_FMNH_69936	CM038391.1	188808367	189405076	596710	725	65.1
RG	05_FMNH_69936	CM038391.1	190800069	191353668	553600	762	51.2
RG	05_FMNH_69936	CM038391.1	192112736	193574895	1462160	1629	89.3
RG	05_FMNH_69936	CM038391.1	194279543	194752671	473129	746	82.2
RG	05_FMNH_69936	CM038391.1	195162473	195783160	620688	1014	60.9
RG	05_FMNH_69936	CM038391.1	196839560	197510686	671127	869	58.7
